gene,miRNA,interaction
KIF15,hsa-miR-548ah-3p,0
PIGY,hsa-miR-548ah-3p,1
ACVR1C,hsa-miR-4475,0
LOXL2,hsa-miR-4475,1
CNN3,hsa-miR-4475,1
ACVR1C,hsa-miR-4789-3p,0
NOS1,hsa-miR-4789-3p,0
PSMF1,hsa-miR-4789-3p,0
PDE8B,hsa-miR-4789-3p,0
PLEKHA1,hsa-miR-4789-3p,0
KIAA0513,hsa-miR-4789-3p,0
PLA2R1,hsa-miR-4789-3p,1
OLFML1,hsa-miR-4789-3p,1
ADAM12,hsa-miR-30d-3p,0
POTED,hsa-miR-30d-3p,0
MEGF10,hsa-miR-30d-3p,1
ADAM12,hsa-miR-30b-3p,0
BECN1,hsa-miR-30b-3p,1
C6ORF52,hsa-miR-30b-3p,0
RORC,hsa-miR-30b-3p,1
SLC41A1,hsa-miR-30b-3p,0
ADAM12,hsa-miR-200b-3p,1
DNMT1,hsa-miR-200b-3p,1
ATG12,hsa-miR-200b-3p,1
CD274,hsa-miR-200b-3p,1
JUN,hsa-miR-200b-3p,1
MYB,hsa-miR-200b-3p,1
NOTCH1,hsa-miR-200b-3p,1
PTPN12,hsa-miR-200b-3p,1
SP1,hsa-miR-200b-3p,1
TCF7L1,hsa-miR-200b-3p,1
ZEB2,hsa-miR-200b-3p,1
GUCY2F,hsa-miR-200b-3p,0
LCE4A,hsa-miR-200b-3p,0
ENOX1,hsa-miR-200b-3p,1
C12ORF53,hsa-miR-200b-3p,0
HFE,hsa-miR-200b-3p,1
LOX,hsa-miR-200b-3p,1
QRSL1,hsa-miR-200b-3p,1
RAB18,hsa-miR-200b-3p,1
ZFPM2,hsa-miR-200b-3p,1
ADAM12,hsa-miR-3661,0
ZSWIM7,hsa-miR-3661,1
CCM2,hsa-miR-3661,1
SLC12A8,hsa-miR-3661,1
TMEM151A,hsa-miR-3661,1
ADAM12,hsa-miR-6818-3p,0
ADAM12,hsa-miR-376a-2-5p,0
APAF1,hsa-miR-376a-2-5p,0
AMPD2,hsa-miR-376a-2-5p,1
ADAM12,hsa-miR-501-5p,0
CD4,hsa-miR-501-5p,0
NKD1,hsa-miR-501-5p,1
ADAM12,hsa-miR-606,0
MFAP3,hsa-miR-606,1
ADAM12,hsa-miR-939-3p,0
BACE1,hsa-miR-939-3p,0
TPSAB1,hsa-miR-939-3p,1
ADAM12,hsa-miR-10399-5p,0
STOM,hsa-miR-10399-5p,1
WDR45L,hsa-miR-10399-5p,1
ADAM12,hsa-miR-337-5p,0
ST3GAL6,hsa-miR-337-5p,1
PCGF6,hsa-miR-337-5p,1
ADAM12,hsa-miR-1200,0
ATM,hsa-miR-1200,0
PTK2,hsa-miR-1200,0
GRIN2D,hsa-miR-1200,0
SDR42E1,hsa-miR-1200,1
ADAM12,hsa-miR-376c-5p,0
CDKN1A,hsa-miR-376c-5p,0
TMEM184B,hsa-miR-376c-5p,0
GSG2,hsa-miR-376c-5p,0
IMMP2L,hsa-miR-376c-5p,0
CHIA,hsa-miR-376c-5p,0
ABCB7,hsa-miR-376c-5p,1
RNF39,hsa-miR-376c-5p,1
PROSAPIP1,hsa-miR-376c-5p,1
ADAM12,hsa-miR-3157-3p,0
NUMB,hsa-miR-3157-3p,0
FLG2,hsa-miR-3157-3p,0
ARPP-21,hsa-miR-3157-3p,0
DEFB107A,hsa-miR-3157-3p,0
GOLGA5,hsa-miR-3157-3p,1
KIAA0774,hsa-miR-3157-3p,1
SKIL,hsa-miR-3157-3p,1
ADCY10,hsa-miR-3157-3p,1
ADAM12,hsa-miR-7977,0
PMFBP1,hsa-miR-7977,1
ADAM12,hsa-miR-200c-3p,1
UBE2I,hsa-miR-200c-3p,0
DLC1,hsa-miR-200c-3p,1
ERRFI1,hsa-miR-200c-3p,1
FOXO1,hsa-miR-200c-3p,1
KLF9,hsa-miR-200c-3p,1
LPAR1,hsa-miR-200c-3p,1
RCOR3,hsa-miR-200c-3p,1
RIN2,hsa-miR-200c-3p,1
SHC1,hsa-miR-200c-3p,1
TCF7L1,hsa-miR-200c-3p,1
C7ORF10,hsa-miR-200c-3p,0
CDK5RAP3,hsa-miR-200c-3p,0
ROCK2,hsa-miR-200c-3p,1
FAM71D,hsa-miR-200c-3p,0
CDH11,hsa-miR-200c-3p,1
MFAP3L,hsa-miR-200c-3p,1
MYLK,hsa-miR-200c-3p,1
PRKCZ,hsa-miR-200c-3p,1
RND3,hsa-miR-200c-3p,1
AP1B1,hsa-miR-200c-3p,1
ADAM12,hsa-miR-29a-3p,1
BACE1,hsa-miR-29a-3p,1
BCL7A,hsa-miR-29a-3p,0
CCND1,hsa-miR-29a-3p,1
DNMT1,hsa-miR-29a-3p,1
FGA,hsa-miR-29a-3p,1
FGB,hsa-miR-29a-3p,1
IMPDH1,hsa-miR-29a-3p,0
ITIH5,hsa-miR-29a-3p,0
MMP2,hsa-miR-29a-3p,1
AHR,hsa-miR-29a-3p,1
CALCR,hsa-miR-29a-3p,1
CCND2,hsa-miR-29a-3p,1
CDC7,hsa-miR-29a-3p,1
COL5A2,hsa-miR-29a-3p,1
CPEB3,hsa-miR-29a-3p,1
FBN1,hsa-miR-29a-3p,1
FOXO3,hsa-miR-29a-3p,1
GPR85,hsa-miR-29a-3p,1
IFNAR1,hsa-miR-29a-3p,1
KDM5B,hsa-miR-29a-3p,1
NAV3,hsa-miR-29a-3p,1
HMGCR,hsa-miR-29a-3p,1
DNMT3B,hsa-miR-29a-3p,1
COL3A1,hsa-miR-29a-3p,1
GAGE13,hsa-miR-29a-3p,1
COL4A1,hsa-miR-29a-3p,1
USH2A,hsa-miR-29a-3p,1
ADAMTS9,hsa-miR-29a-3p,1
ATG9A,hsa-miR-29a-3p,1
DNMT3A,hsa-miR-29a-3p,1
SFRP2,hsa-miR-29a-3p,1
ADAM12,hsa-miR-29b-3p,1
DNMT1,hsa-miR-29b-3p,0
FGA,hsa-miR-29b-3p,1
GRN,hsa-miR-29b-3p,1
IMPDH1,hsa-miR-29b-3p,0
MCL1,hsa-miR-29b-3p,1
MMP2,hsa-miR-29b-3p,1
ANGPTL4,hsa-miR-29b-3p,1
MYCN,hsa-miR-29b-3p,1
NASP,hsa-miR-29b-3p,1
PIK3R1,hsa-miR-29b-3p,1
PPP1R13B,hsa-miR-29b-3p,1
SP1,hsa-miR-29b-3p,1
MYADM,hsa-miR-29b-3p,0
PDGFB,hsa-miR-29b-3p,1
TCL1A,hsa-miR-29b-3p,1
NID1,hsa-miR-29b-3p,1
PIK3CG,hsa-miR-29b-3p,1
AKT3,hsa-miR-29b-3p,1
AQP4,hsa-miR-29b-3p,1
COL10A1,hsa-miR-29b-3p,1
COL5A3,hsa-miR-29b-3p,1
KIF1B,hsa-miR-29b-3p,1
LASP1,hsa-miR-29b-3p,1
ADIPOR2,hsa-miR-124-3p,0
BACE1,hsa-miR-124-3p,0
LIMK1,hsa-miR-124-3p,0
MAPK14,hsa-miR-124-3p,1
PEA15,hsa-miR-124-3p,0
AHR,hsa-miR-124-3p,1
CBL,hsa-miR-124-3p,1
CDK6,hsa-miR-124-3p,1
CEBPA,hsa-miR-124-3p,1
FOXA2,hsa-miR-124-3p,1
GRIA2,hsa-miR-124-3p,1
HNRNPA2B1,hsa-miR-124-3p,1
PIM1,hsa-miR-124-3p,1
STAT3,hsa-miR-124-3p,1
SYCP1,hsa-miR-124-3p,1
CAMTA1,hsa-miR-124-3p,1
POLD1,hsa-miR-124-3p,0
RAB15,hsa-miR-124-3p,0
ROCK2,hsa-miR-124-3p,1
ELK3,hsa-miR-124-3p,1
KLF6,hsa-miR-124-3p,1
MYO10,hsa-miR-124-3p,1
NFKBIZ,hsa-miR-124-3p,1
RAP2A,hsa-miR-124-3p,1
RELA,hsa-miR-124-3p,1
TRIB3,hsa-miR-124-3p,1
ADIPOR2,hsa-miR-656-3p,0
NRCAM,hsa-miR-656-3p,1
ADIPOR2,hsa-miR-4307,0
CCDC19,hsa-miR-4307,0
ADIPOR2,hsa-miR-1321,0
MAX,hsa-miR-1321,0
VAMP1,hsa-miR-1321,0
WDR93,hsa-miR-1321,1
CDH6,hsa-miR-1321,1
ADIPOR2,hsa-miR-2114-3p,0
EBP,hsa-miR-2114-3p,0
GNMT,hsa-miR-2114-3p,0
LMCD1,hsa-miR-2114-3p,1
UBE2Q1,hsa-miR-2114-3p,1
ADIPOR2,hsa-miR-6805-3p,0
SYT9,hsa-miR-6805-3p,0
DSTN,hsa-miR-6805-3p,1
DAK,hsa-miR-6805-3p,0
MAGED1,hsa-miR-6805-3p,1
ADIPOR2,hsa-miR-1245a,0
POU2F1,hsa-miR-1245a,0
TBL1X,hsa-miR-1245a,1
TMEM97,hsa-miR-1245a,1
ADIPOR2,hsa-miR-1250-5p,0
C9ORF4,hsa-miR-1250-5p,1
ADIPOR2,hsa-miR-603,0
ADIPOR2,hsa-miR-5088-5p,0
MUSK,hsa-miR-5088-5p,1
ADIPOR2,hsa-miR-5001-5p,0
SLC12A3,hsa-miR-5001-5p,0
NADSYN1,hsa-miR-5001-5p,1
GPR182,hsa-miR-5001-5p,1
ADIPOR2,hsa-miR-7978,0
GOLGB1,hsa-miR-7978,0
IMMT,hsa-miR-7978,0
PPP1R14B,hsa-miR-7978,1
ADIPOR2,hsa-miR-6511b-3p,0
NDFIP2,hsa-miR-6511b-3p,1
ADIPOR2,hsa-miR-3183,0
CLN8,hsa-miR-3183,1
AKT1,hsa-miR-199a-3p,0
MAPK14,hsa-miR-199a-3p,0
MAPK8,hsa-miR-199a-3p,0
MAPK9,hsa-miR-199a-3p,0
PEA15,hsa-miR-199a-3p,0
SMARCA2,hsa-miR-199a-3p,1
STK11,hsa-miR-199a-3p,1
CCDC121,hsa-miR-199a-3p,0
ARHGEF18,hsa-miR-199a-3p,0
RGAG4,hsa-miR-199a-3p,0
HP1BP3,hsa-miR-199a-3p,0
FBXO11,hsa-miR-199a-3p,0
PDXP,hsa-miR-199a-3p,0
DNAJA4,hsa-miR-199a-3p,1
IMPG1,hsa-miR-199a-3p,1
GMDS,hsa-miR-199a-3p,1
AKT1,hsa-miR-192-5p,1
CDKN1B,hsa-miR-192-5p,0
ACVR2B,hsa-miR-192-5p,1
CAV1,hsa-miR-192-5p,1
CDC7,hsa-miR-192-5p,1
ERCC4,hsa-miR-192-5p,1
HOXA10,hsa-miR-192-5p,1
PIM1,hsa-miR-192-5p,1
RACGAP1,hsa-miR-192-5p,1
RB1,hsa-miR-192-5p,1
CUL5,hsa-miR-192-5p,1
SRP9,hsa-miR-192-5p,1
DHFR,hsa-miR-192-5p,1
KIF20B,hsa-miR-192-5p,1
AKT1,hsa-miR-100-5p,1
IGF1R,hsa-miR-100-5p,1
FLT1,hsa-miR-100-5p,1
SMARCA5,hsa-miR-100-5p,1
ZNF215,hsa-miR-100-5p,1
CTDSPL,hsa-miR-100-5p,1
FKBP5,hsa-miR-100-5p,1
HOXA1,hsa-miR-100-5p,1
RNF144B,hsa-miR-100-5p,1
RHOV,hsa-miR-100-5p,1
AKT1,hsa-miR-138-5p,1
EED,hsa-miR-138-5p,0
EZH2,hsa-miR-138-5p,1
SLC45A3,hsa-miR-138-5p,0
IGF1R,hsa-miR-138-5p,0
MXD1,hsa-miR-138-5p,1
NFKB1,hsa-miR-138-5p,1
SNAI2,hsa-miR-138-5p,1
ZEB2,hsa-miR-138-5p,1
FOSL1,hsa-miR-138-5p,1
KDM5C,hsa-miR-138-5p,1
LCN2,hsa-miR-138-5p,1
S100A1,hsa-miR-138-5p,1
AKT1,hsa-miR-10b-5p,1
NRP2,hsa-miR-10b-5p,0
NR4A3,hsa-miR-10b-5p,0
BCL2L11,hsa-miR-10b-5p,1
TIAM1,hsa-miR-10b-5p,1
RSRC1,hsa-miR-10b-5p,1
AKT1,hsa-miR-143-3p,1
BCL2,hsa-miR-143-3p,1
COL1A1,hsa-miR-143-3p,0
CTGF,hsa-miR-143-3p,1
FSCN1,hsa-miR-143-3p,0
JAG1,hsa-miR-143-3p,0
AKT2,hsa-miR-143-3p,1
BAG3,hsa-miR-143-3p,1
TNF,hsa-miR-143-3p,1
ITGB4,hsa-miR-143-3p,1
COL3A1,hsa-miR-143-3p,1
TRAF5,hsa-miR-143-3p,1
THUMPD1,hsa-miR-143-3p,1
AKT1,hsa-miR-374b-5p,1
FASTK,hsa-miR-374b-5p,0
KLF3,hsa-miR-374b-5p,1
HISPPD2A,hsa-miR-374b-5p,1
ESX1,hsa-miR-374b-5p,1
LAGE3,hsa-miR-374b-5p,1
AKT1,hsa-miR-196b-5p,1
ETS2,hsa-miR-196b-5p,1
IGF2BP1,hsa-miR-196b-5p,1
C12ORF36,hsa-miR-196b-5p,1
GATA6,hsa-miR-196b-5p,1
HOXB7,hsa-miR-196b-5p,1
NOTO,hsa-miR-196b-5p,1
AKT1,hsa-miR-206,1
TAC1,hsa-miR-206,1
ACTL6A,hsa-miR-206,1
CCND2,hsa-miR-206,1
ESR1,hsa-miR-206,1
PAX3,hsa-miR-206,1
SMAD2,hsa-miR-206,1
SOX9,hsa-miR-206,1
NOTCH3,hsa-miR-206,1
AKT1,hsa-miR-302a-3p,1
CDK4,hsa-miR-302a-3p,1
SLC7A5,hsa-miR-302a-3p,0
TAC1,hsa-miR-302a-3p,0
CDK2,hsa-miR-302a-3p,1
LEFTY2,hsa-miR-302a-3p,1
NANOG,hsa-miR-302a-3p,1
GNAI3,hsa-miR-302a-3p,1
CRLS1,hsa-miR-302a-3p,1
C10ORF141,hsa-miR-302a-3p,1
ARMCX6,hsa-miR-302a-3p,1
PHF7,hsa-miR-302a-3p,1
LEFTY1,hsa-miR-302a-3p,1
ARID1A,hsa-miR-101-3p,0
ATM,hsa-miR-101-3p,1
CCND1,hsa-miR-101-3p,1
CDK8,hsa-miR-101-3p,1
FBN2,hsa-miR-101-3p,0
FOS,hsa-miR-101-3p,0
IL10,hsa-miR-101-3p,0
RAC1,hsa-miR-101-3p,1
SUZ12,hsa-miR-101-3p,0
CDH5,hsa-miR-101-3p,1
GRSF1,hsa-miR-101-3p,1
PTGS2,hsa-miR-101-3p,1
PIK3CB,hsa-miR-101-3p,1
KIF15,hsa-miR-101-3p,0
CNKSR2,hsa-miR-101-3p,0
POU5F1B,hsa-miR-101-3p,0
UFD1L,hsa-miR-101-3p,0
